001,590,21/3/2023
002,400,21/3/2023
003,1450,22/3/2023
004,590,22/3/2023
005,744,25/3/2023
006,474,25/3/2023
007,598,25/3/2023
008,460,27/3/2023
009,170,01/4/2023
010,590,01/4/2023
011,590,03/4/2023
012,447,04/4/2023
013,140,05/4/2023
014,170,05/4/2023
015,590,07/4/2023
016,590,09/4/2023
017,447,10/4/2023
018,140,10/4/2023
013,1475,10/4/2023
014,780,11/4/2023
015,475,15/4/2023
016,425,15/4/2023
017,854,16/4/2023
018,1800,16/4/2023
019,270,17/4/2023
020,390,18/4/2023
021,880,18/4/2023
022,160,18/4/2023
023,560,18/4/2023
024,335,18/4/2023
025,200,18/4/2023
030,560,18/4/2023
033,600,19/4/2023
33,60,19/4/2023
34,325,19/4/2023
35,670,19/4/2023
